,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,2222.24,0,0,1111.12,0,0,555.56,0,0,1111.12,0,0,8888.88,0,0,4444.48,0,0,2222.24,0,0,4444.48,0,0,2222.24,0,0,1111.12,0,0,555.56,0,0,1111.12
,1111.12,0,0,2222.24,0,0,1111.12,0,0,555.56,0,0,4444.48,0,0,8888.88,0,0,4444.48,0,0,2222.24,0,0,1111.12,0,0,2222.24,0,0,1111.12,0,0,555.56,0,0
,0,1111.12,0,0,2222.24,0,0,1111.12,0,0,555.56,0,0,4444.48,0,0,8888.88,0,0,4444.48,0,0,2222.24,0,0,1111.12,0,0,2222.24,0,0,1111.12,0,0,555.56,0
,0,0,1111.12,0,0,2222.24,0,0,1111.12,0,0,555.56,0,0,4444.48,0,0,8888.88,0,0,4444.48,0,0,2222.24,0,0,1111.12,0,0,2222.24,0,0,1111.12,0,0,555.56
,555.56,0,0,1111.12,0,0,2222.24,0,0,1111.12,0,0,2222.24,0,0,4444.48,0,0,8888.88,0,0,4444.48,0,0,555.56,0,0,1111.12,0,0,2222.24,0,0,1111.12,0,0
,0,555.56,0,0,1111.12,0,0,2222.24,0,0,1111.12,0,0,2222.24,0,0,4444.48,0,0,8888.88,0,0,4444.48,0,0,555.56,0,0,1111.12,0,0,2222.24,0,0,1111.12,0
,0,0,555.56,0,0,1111.12,0,0,2222.24,0,0,1111.12,0,0,2222.24,0,0,4444.48,0,0,8888.88,0,0,4444.48,0,0,555.56,0,0,1111.12,0,0,2222.24,0,0,1111.12
,1111.12,0,0,555.56,0,0,1111.12,0,0,2222.24,0,0,4444.48,0,0,2222.24,0,0,4444.48,0,0,8888.88,0,0,1111.12,0,0,555.56,0,0,1111.12,0,0,2222.24,0,0
,0,1111.12,0,0,555.56,0,0,1111.12,0,0,2222.24,0,0,4444.48,0,0,2222.24,0,0,4444.48,0,0,8888.88,0,0,1111.12,0,0,555.56,0,0,1111.12,0,0,2222.24,0
,0,0,1111.12,0,0,555.56,0,0,1111.12,0,0,2222.24,0,0,4444.48,0,0,2222.24,0,0,4444.48,0,0,8888.88,0,0,1111.12,0,0,555.56,0,0,1111.12,0,0,2222.24
,0,0,0,0,0,0,0,0,0,0,0,0,2222.24,0,0,1111.12,0,0,555.56,0,0,1111.12,0,0,4444.44,0,0,2222.24,0,0,1111.12,0,0,2222.24,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,2222.24,0,0,1111.12,0,0,555.56,0,0,1111.12,0,0,4444.44,0,0,2222.24,0,0,1111.12,0,0,2222.24,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2222.24,0,0,1111.12,0,0,555.56,0,0,1111.12,0,0,4444.44,0,0,2222.24,0,0,1111.12,0,0,2222.24
,0,0,0,0,0,0,0,0,0,0,0,0,1111.12,0,0,2222.24,0,0,1111.12,0,0,555.56,0,0,2222.24,0,0,4444.44,0,0,2222.24,0,0,1111.12,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1111.12,0,0,2222.24,0,0,1111.12,0,0,555.56,0,0,2222.24,0,0,4444.44,0,0,2222.24,0,0,1111.12,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111.12,0,0,2222.24,0,0,1111.12,0,0,555.56,0,0,2222.24,0,0,4444.44,0,0,2222.24,0,0,1111.12
,0,0,0,0,0,0,0,0,0,0,0,0,555.56,0,0,1111.12,0,0,2222.24,0,0,1111.12,0,0,1111.12,0,0,2222.24,0,0,4444.44,0,0,2222.24,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,555.56,0,0,1111.12,0,0,2222.24,0,0,1111.12,0,0,1111.12,0,0,2222.24,0,0,4444.44,0,0,2222.24,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555.56,0,0,1111.12,0,0,2222.24,0,0,1111.12,0,0,1111.12,0,0,2222.24,0,0,4444.44,0,0,2222.24
,0,0,0,0,0,0,0,0,0,0,0,0,1111.12,0,0,555.56,0,0,1111.12,0,0,2222.24,0,0,2222.24,0,0,1111.12,0,0,2222.24,0,0,4444.44,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,1111.12,0,0,555.56,0,0,1111.12,0,0,2222.24,0,0,2222.24,0,0,1111.12,0,0,2222.24,0,0,4444.44,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111.12,0,0,555.56,0,0,1111.12,0,0,2222.24,0,0,2222.24,0,0,1111.12,0,0,2222.24,0,0,4444.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18.6671618,0,0,-9.333774245,0,0,4.667041799,0,0,-9.333774245,0,0,-5.333646241,0,0,2.666929796,0,0,-1.333550239,0,0,2.666929796,0,0,2.666889794,0,0,-1.333518238,0,0,0.666817792,0,0,-1.333518238,0,0
,0,18.6671618,0,0,-9.333774245,0,0,4.667041799,0,0,-9.333774245,0,0,-5.333646241,0,0,2.666929796,0,0,-1.333550239,0,0,2.666929796,0,0,2.666889794,0,0,-1.333518238,0,0,0.666817792,0,0,-1.333518238,0
,0,0,18.6671618,0,0,-9.333774245,0,0,4.667041799,0,0,-9.333774245,0,0,-5.333646241,0,0,2.666929796,0,0,-1.333550239,0,0,2.666929796,0,0,2.666889794,0,0,-1.333518238,0,0,0.666817792,0,0,-1.333518238
,-9.333774245,0,0,18.6671618,0,0,-9.333774245,0,0,4.667041799,0,0,2.666929796,0,0,-5.333646241,0,0,2.666929796,0,0,-1.333550239,0,0,-1.333518238,0,0,2.666889794,0,0,-1.333518238,0,0,0.666817792,0,0
,0,-9.333774245,0,0,18.6671618,0,0,-9.333774245,0,0,4.667041799,0,0,2.666929796,0,0,-5.333646241,0,0,2.666929796,0,0,-1.333550239,0,0,-1.333518238,0,0,2.666889794,0,0,-1.333518238,0,0,0.666817792,0
,0,0,-9.333774245,0,0,18.6671618,0,0,-9.333774245,0,0,4.667041799,0,0,2.666929796,0,0,-5.333646241,0,0,2.666929796,0,0,-1.333550239,0,0,-1.333518238,0,0,2.666889794,0,0,-1.333518238,0,0,0.666817792
,4.667041799,0,0,-9.333774245,0,0,18.6671618,0,0,-9.333774245,0,0,-1.333550239,0,0,2.666929796,0,0,-5.333646241,0,0,2.666929796,0,0,0.666817792,0,0,-1.333518238,0,0,2.666889794,0,0,-1.333518238,0,0
,0,4.667041799,0,0,-9.333774245,0,0,18.6671618,0,0,-9.333774245,0,0,-1.333550239,0,0,2.666929796,0,0,-5.333646241,0,0,2.666929796,0,0,0.666817792,0,0,-1.333518238,0,0,2.666889794,0,0,-1.333518238,0
,0,0,4.667041799,0,0,-9.333774245,0,0,18.6671618,0,0,-9.333774245,0,0,-1.333550239,0,0,2.666929796,0,0,-5.333646241,0,0,2.666929796,0,0,0.666817792,0,0,-1.333518238,0,0,2.666889794,0,0,-1.333518238
,-9.333774245,0,0,4.667041799,0,0,-9.333774245,0,0,18.6671618,0,0,2.666929796,0,0,-1.333550239,0,0,2.666929796,0,0,-5.333646241,0,0,-1.333518238,0,0,0.666817792,0,0,-1.333518238,0,0,2.666889794,0,0
,0,-9.333774245,0,0,4.667041799,0,0,-9.333774245,0,0,18.6671618,0,0,2.666929796,0,0,-1.333550239,0,0,2.666929796,0,0,-5.333646241,0,0,-1.333518238,0,0,0.666817792,0,0,-1.333518238,0,0,2.666889794,0
,0,0,-9.333774245,0,0,4.667041799,0,0,-9.333774245,0,0,18.6671618,0,0,2.666929796,0,0,-1.333550239,0,0,2.666929796,0,0,-5.333646241,0,0,-1.333518238,0,0,0.666817792,0,0,-1.333518238,0,0,2.666889794
,-5.333646241,0,0,2.666929796,0,0,-1.333550239,0,0,2.666929796,0,0,10.6670258,0,0,-5.333646241,0,0,2.666929796,0,0,-5.333646241,0,0,-5.333646241,0,0,2.666929796,0,0,-1.333550239,0,0,2.666929796,0,0
,0,-5.333646241,0,0,2.666929796,0,0,-1.333550239,0,0,2.666929796,0,0,10.6670258,0,0,-5.333646241,0,0,2.666929796,0,0,-5.333646241,0,0,-5.333646241,0,0,2.666929796,0,0,-1.333550239,0,0,2.666929796,0
,0,0,-5.333646241,0,0,2.666929796,0,0,-1.333550239,0,0,2.666929796,0,0,10.6670258,0,0,-5.333646241,0,0,2.666929796,0,0,-5.333646241,0,0,-5.333646241,0,0,2.666929796,0,0,-1.333550239,0,0,2.666929796
,2.666929796,0,0,-5.333646241,0,0,2.666929796,0,0,-1.333550239,0,0,-5.333646241,0,0,10.6670258,0,0,-5.333646241,0,0,2.666929796,0,0,2.666929796,0,0,-5.333646241,0,0,2.666929796,0,0,-1.333550239,0,0
,0,2.666929796,0,0,-5.333646241,0,0,2.666929796,0,0,-1.333550239,0,0,-5.333646241,0,0,10.6670258,0,0,-5.333646241,0,0,2.666929796,0,0,2.666929796,0,0,-5.333646241,0,0,2.666929796,0,0,-1.333550239,0
,0,0,2.666929796,0,0,-5.333646241,0,0,2.666929796,0,0,-1.333550239,0,0,-5.333646241,0,0,10.6670258,0,0,-5.333646241,0,0,2.666929796,0,0,2.666929796,0,0,-5.333646241,0,0,2.666929796,0,0,-1.333550239
,-1.333550239,0,0,2.666929796,0,0,-5.333646241,0,0,2.666929796,0,0,2.666929796,0,0,-5.333646241,0,0,10.6670258,0,0,-5.333646241,0,0,-1.333550239,0,0,2.666929796,0,0,-5.333646241,0,0,2.666929796,0,0
,0,-1.333550239,0,0,2.666929796,0,0,-5.333646241,0,0,2.666929796,0,0,2.666929796,0,0,-5.333646241,0,0,10.6670258,0,0,-5.333646241,0,0,-1.333550239,0,0,2.666929796,0,0,-5.333646241,0,0,2.666929796,0
,0,0,-1.333550239,0,0,2.666929796,0,0,-5.333646241,0,0,2.666929796,0,0,2.666929796,0,0,-5.333646241,0,0,10.6670258,0,0,-5.333646241,0,0,-1.333550239,0,0,2.666929796,0,0,-5.333646241,0,0,2.666929796
,2.666929796,0,0,-1.333550239,0,0,2.666929796,0,0,-5.333646241,0,0,-5.333646241,0,0,2.666929796,0,0,-5.333646241,0,0,10.6670258,0,0,2.666929796,0,0,-1.333550239,0,0,2.666929796,0,0,-5.333646241,0,0
,0,2.666929796,0,0,-1.333550239,0,0,2.666929796,0,0,-5.333646241,0,0,-5.333646241,0,0,2.666929796,0,0,-5.333646241,0,0,10.6670258,0,0,2.666929796,0,0,-1.333550239,0,0,2.666929796,0,0,-5.333646241,0
,0,0,2.666929796,0,0,-1.333550239,0,0,2.666929796,0,0,-5.333646241,0,0,-5.333646241,0,0,2.666929796,0,0,-5.333646241,0,0,10.6670258,0,0,2.666929796,0,0,-1.333550239,0,0,2.666929796,0,0,-5.333646241
,2.666889794,0,0,-1.333518238,0,0,0.666817792,0,0,-1.333518238,0,0,-5.333646241,0,0,2.666929796,0,0,-1.333550239,0,0,2.666929796,0,0,18.6671618,0,0,-9.333774245,0,0,4.667041799,0,0,-9.333774245,0,0
,0,2.666889794,0,0,-1.333518238,0,0,0.666817792,0,0,-1.333518238,0,0,-5.333646241,0,0,2.666929796,0,0,-1.333550239,0,0,2.666929796,0,0,18.6671618,0,0,-9.333774245,0,0,4.667041799,0,0,-9.333774245,0
,0,0,2.666889794,0,0,-1.333518238,0,0,0.666817792,0,0,-1.333518238,0,0,-5.333646241,0,0,2.666929796,0,0,-1.333550239,0,0,2.666929796,0,0,18.6671618,0,0,-9.333774245,0,0,4.667041799,0,0,-9.333774245
,-1.333518238,0,0,2.666889794,0,0,-1.333518238,0,0,0.666817792,0,0,2.666929796,0,0,-5.333646241,0,0,2.666929796,0,0,-1.333550239,0,0,-9.333774245,0,0,18.6671618,0,0,-9.333774245,0,0,4.667041799,0,0
,0,-1.333518238,0,0,2.666889794,0,0,-1.333518238,0,0,0.666817792,0,0,2.666929796,0,0,-5.333646241,0,0,2.666929796,0,0,-1.333550239,0,0,-9.333774245,0,0,18.6671618,0,0,-9.333774245,0,0,4.667041799,0
,0,0,-1.333518238,0,0,2.666889794,0,0,-1.333518238,0,0,0.666817792,0,0,2.666929796,0,0,-5.333646241,0,0,2.666929796,0,0,-1.333550239,0,0,-9.333774245,0,0,18.6671618,0,0,-9.333774245,0,0,4.667041799
,0.666817792,0,0,-1.333518238,0,0,2.666889794,0,0,-1.333518238,0,0,-1.333550239,0,0,2.666929796,0,0,-5.333646241,0,0,2.666929796,0,0,4.667041799,0,0,-9.333774245,0,0,18.6671618,0,0,-9.333774245,0,0
,0,0.666817792,0,0,-1.333518238,0,0,2.666889794,0,0,-1.333518238,0,0,-1.333550239,0,0,2.666929796,0,0,-5.333646241,0,0,2.666929796,0,0,4.667041799,0,0,-9.333774245,0,0,18.6671618,0,0,-9.333774245,0
,0,0,0.666817792,0,0,-1.333518238,0,0,2.666889794,0,0,-1.333518238,0,0,-1.333550239,0,0,2.666929796,0,0,-5.333646241,0,0,2.666929796,0,0,4.667041799,0,0,-9.333774245,0,0,18.6671618,0,0,-9.333774245
,-1.333518238,0,0,0.666817792,0,0,-1.333518238,0,0,2.666889794,0,0,2.666929796,0,0,-1.333550239,0,0,2.666929796,0,0,-5.333646241,0,0,-9.333774245,0,0,4.667041799,0,0,-9.333774245,0,0,18.6671618,0,0
,0,-1.333518238,0,0,0.666817792,0,0,-1.333518238,0,0,2.666889794,0,0,2.666929796,0,0,-1.333550239,0,0,2.666929796,0,0,-5.333646241,0,0,-9.333774245,0,0,4.667041799,0,0,-9.333774245,0,0,18.6671618,0
,0,0,-1.333518238,0,0,0.666817792,0,0,-1.333518238,0,0,2.666889794,0,0,2.666929796,0,0,-1.333550239,0,0,2.666929796,0,0,-5.333646241,0,0,-9.333774245,0,0,4.667041799,0,0,-9.333774245,0,0,18.6671618
