,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-29.558405,-8.012821,24.038462,-39.88604,-16.025641,-4.807692,54.843305,-3.205128,-24.038462,8.190883,-1.602564,4.807692,-113.960114,0,96.153846,-150.997152,0,-19.23077,236.467236,0,-96.153846,41.310542,0,19.23077,-29.558405,8.012821,24.038462,-39.88604,16.025641,-4.807692,54.843305,3.205128,-24.038462,8.190883,1.602564,4.807692
,-8.012821,-15.31339,8.012821,-16.025641,-11.396011,-1.602564,3.205128,15.669516,-3.205128,1.602564,-11.396011,16.025641,0,-46.296296,0,0,-15.669516,0,0,122.507122,0,0,-15.669516,0,8.012821,-15.31339,-8.012821,16.025641,-11.396011,1.602564,-3.205128,15.669516,3.205128,-1.602564,-11.396011,-16.025641
,24.038462,8.012821,-29.558405,4.807692,1.602564,8.190883,-24.038462,3.205128,54.843305,-4.807692,16.025641,-39.88604,96.153846,0,-113.960114,19.23077,0,41.310542,-96.153846,0,236.467236,-19.23077,0,-150.997152,24.038462,-8.012821,-29.558405,4.807692,-1.602564,8.190883,-24.038462,-3.205128,54.843305,-4.807692,-16.025641,-39.88604
,-39.88604,-16.025641,4.807692,-29.558405,-8.012821,-24.038462,8.190883,-1.602564,-4.807692,54.843305,-3.205128,24.038462,-150.997152,0,19.23077,-113.960114,0,-96.153846,41.310542,0,-19.23077,236.467236,0,96.153846,-39.88604,16.025641,4.807692,-29.558405,8.012821,-24.038462,8.190883,1.602564,-4.807692,54.843305,3.205128,24.038462
,-16.025641,-11.396011,1.602564,-8.012821,-15.31339,-8.012821,1.602564,-11.396011,-16.025641,3.205128,15.669516,3.205128,0,-15.669516,0,0,-46.296296,0,0,-15.669516,0,0,122.507122,0,16.025641,-11.396011,-1.602564,8.012821,-15.31339,8.012821,-1.602564,-11.396011,16.025641,-3.205128,15.669516,-3.205128
,-4.807692,-1.602564,8.190883,-24.038462,-8.012821,-29.558405,4.807692,-16.025641,-39.88604,24.038462,-3.205128,54.843305,-19.23077,0,41.310542,-96.153846,0,-113.960114,19.23077,0,-150.997152,96.153846,0,236.467236,-4.807692,1.602564,8.190883,-24.038462,8.012821,-29.558405,4.807692,16.025641,-39.88604,24.038462,3.205128,54.843305
,0,0,0,0,0,0,0,0,0,0,0,0,54.843305,3.205128,-24.038462,8.190883,1.602564,4.807692,-29.558405,8.012821,24.038462,-39.88604,16.025641,-4.807692,118.233618,-16.025641,-48.076923,20.655271,-8.012821,9.615385,-56.980057,-1.602564,48.076923,-75.498576,-3.205128,-9.615385
,0,0,0,0,0,0,0,0,0,0,0,0,-3.205128,15.669516,3.205128,-1.602564,-11.396011,-16.025641,8.012821,-15.31339,-8.012821,16.025641,-11.396011,1.602564,-16.025641,61.253561,16.025641,-8.012821,-7.834758,-3.205128,1.602564,-23.148148,-1.602564,3.205128,-7.834758,8.012821
,0,0,0,0,0,0,0,0,0,0,0,0,-24.038462,-3.205128,54.843305,-4.807692,-16.025641,-39.88604,24.038462,-8.012821,-29.558405,4.807692,-1.602564,8.190883,-48.076923,16.025641,118.233618,-9.615385,3.205128,-75.498576,48.076923,1.602564,-56.980057,9.615385,8.012821,20.655271
,0,0,0,0,0,0,0,0,0,0,0,0,8.190883,1.602564,-4.807692,54.843305,3.205128,24.038462,-39.88604,16.025641,4.807692,-29.558405,8.012821,-24.038462,20.655271,-8.012821,-9.615385,118.233618,-16.025641,48.076923,-75.498576,-3.205128,9.615385,-56.980057,-1.602564,-48.076923
